phv_id	PhenX_id	CDE_primary_name
phv00107755.v1.p1	PX090601030000	Intravascular systolic
phv00107774.v1.p1	PX090601030000	Intravascular systolic
phv00108486.v1.p1	PX090601030000	Intravascular systolic
phv00108830.v1.p1	PX090601030000	Intravascular systolic
phv00110337.v1.p1	PX090601030000	Intravascular systolic
phv00197426.v1.p1	PX090601030000	Intravascular systolic
phv00174123.v1.p1	PX090601030000	Intravascular systolic
phv00159343.v1.p1	PX090601030000	Intravascular systolic
phv00179645.v1.p1	PX090601030000	Intravascular systolic
phv00180538.v1.p1	PX090601030000	Intravascular systolic
phv00163549.v1.p1	PX090601030000	Intravascular systolic
phv00164738.v1.p1	PX090601030000	Intravascular systolic
phv00171766.v1.p1	PX090601030000	Intravascular systolic
phv00171768.v1.p1	PX090601030000	Intravascular systolic
phv00171769.v1.p1	PX090601030000	Intravascular systolic
phv00171770.v1.p1	PX090601030000	Intravascular systolic
phv00173313.v1.p1	PX090601030000	Intravascular systolic
phv00173260.v1.p1	PX090601030000	Intravascular systolic
phv00179599.v1.p1	PX090601030000	Intravascular systolic
phv00201419.v1.p9	PX090601030000	Intravascular systolic
phv00200634.v1.p1	PX090601030000	Intravascular systolic
phv00000096.v2.p1	PX090601040000	Intravascular diastolic
phv00000097.v2.p1	PX090601040000	Intravascular diastolic
phv00000098.v2.p1	PX090601040000	Intravascular diastolic
phv00000099.v2.p1	PX090601040000	Intravascular diastolic
phv00000100.v2.p1	PX090601040000	Intravascular diastolic
phv00000101.v2.p1	PX090601040000	Intravascular diastolic
phv00000102.v2.p1	PX090601040000	Intravascular diastolic
phv00000103.v2.p1	PX090601040000	Intravascular diastolic
phv00000104.v2.p1	PX090601040000	Intravascular diastolic
phv00000105.v2.p1	PX090601040000	Intravascular diastolic
phv00000106.v2.p1	PX090601040000	Intravascular diastolic
phv00000107.v2.p1	PX090601040000	Intravascular diastolic
phv00053860.v2.p1	PX090601040000	Intravascular diastolic
phv00053987.v2.p1	PX090601040000	Intravascular diastolic
phv00000529.v1.p9	PX090601040000	Intravascular diastolic
phv00000531.v1.p9	PX090601040000	Intravascular diastolic
phv00000623.v1.p9	PX090601040000	Intravascular diastolic
phv00000641.v1.p9	PX090601040000	Intravascular diastolic
phv00000643.v1.p9	PX090601040000	Intravascular diastolic
phv00000720.v1.p9	PX090601040000	Intravascular diastolic
phv00000758.v1.p9	PX090601040000	Intravascular diastolic
phv00000760.v1.p9	PX090601040000	Intravascular diastolic
phv00000836.v1.p9	PX090601040000	Intravascular diastolic
phv00000919.v1.p9	PX090601040000	Intravascular diastolic
phv00000921.v1.p9	PX090601040000	Intravascular diastolic
phv00001042.v1.p9	PX090601040000	Intravascular diastolic
phv00001044.v1.p9	PX090601040000	Intravascular diastolic
phv00001196.v1.p9	PX090601040000	Intravascular diastolic
phv00001198.v1.p9	PX090601040000	Intravascular diastolic
phv00001371.v1.p9	PX090601040000	Intravascular diastolic
phv00001373.v1.p9	PX090601040000	Intravascular diastolic
phv00001568.v1.p9	PX090601040000	Intravascular diastolic
phv00001570.v1.p9	PX090601040000	Intravascular diastolic
phv00001810.v1.p9	PX090601040000	Intravascular diastolic
phv00001812.v1.p9	PX090601040000	Intravascular diastolic
phv00002025.v1.p9	PX090601040000	Intravascular diastolic
phv00002027.v1.p9	PX090601040000	Intravascular diastolic
phv00002209.v1.p9	PX090601040000	Intravascular diastolic
phv00002211.v1.p9	PX090601040000	Intravascular diastolic
phv00002430.v1.p9	PX090601040000	Intravascular diastolic
phv00002432.v1.p9	PX090601040000	Intravascular diastolic
phv00002674.v1.p9	PX090601040000	Intravascular diastolic
phv00002676.v1.p9	PX090601040000	Intravascular diastolic
phv00002948.v1.p9	PX090601040000	Intravascular diastolic
phv00003247.v1.p9	PX090601040000	Intravascular diastolic
phv00003307.v1.p9	PX090601040000	Intravascular diastolic
phv00003317.v1.p9	PX090601040000	Intravascular diastolic
phv00003676.v1.p9	PX090601040000	Intravascular diastolic
